id	text	HS	OF	HT
1027343786203127809	"Expliqueme entonces que es lo que entendio.\n\nArgumente por que estamos acostumbrados a que cuando uno pide argumentos le dicen a uno.\n\n"" guerrillero, comunista , ignorante""\n\nY ya. Se van."	0	0	N/A
1027509408337670144	ya me jodería que los heteros nos llevéis imponiendo vuestra sexualidad desde el principio de los tiempos mientras a nosotros nos matan por ser lgbt y ahora decís que es heterofobia un puto tweet que es una coña https://twitter.com/ainhoasasstre/status/1027504719789477888 …	0	0	N/A
1027562281075392513	tabaré es el que menos daño hace en tal caso. entre tabaré y los rosados que llevan al palacio legislativo a médicos que dicen sin tapujos que ser puto, torta o trans son desviaciones, lamentablemente me quedo con juan carlos ojo caido.	1	0	N/A
1027595602358611969	"Pero si eran los chimbomierdas que son unos putos racistas los que se descojonaban con Lin chu so,\n ""ya tenéis un chino."" \n""Solo os falta un esquimal"" \nSon puro racismo y una secta supremacista de mierda"	1	1	racism
1027908914338246657	El embargo de CITGO es solo el comienzo. #Narcodictadura sigue represión, asesinando y traficando, se meterán a tu casa a violar y matar a tu mujer y tus hijos..Y no pasa nada? De pana están como los músicos del Titanic... #DespiertaCoño #Arrechate\n@VenezuelaAnons @MariaCorinaYA	0	0	N/A
1027957085760356352	Discúlpame, pero sos media pelotuda, o sino analizando las posturas verdes, esta mujer no es pobre ni ignorante, relatos de los pañuelos verdes que se caen con sus propios inventores.	1	0	misoginy
1027975631902916608	Vía @RMarcoTorres #10Ago El compañero ministro @jorgerpsuv presenta al pueblo venezolano y a medios de comunicación internacionales, las pruebas que confirman la participación de sectores de la derecha fascista en la planificación del criminal intento de… http://dlvr.it/QfTHcY  pic.twitter.com/mBEg99ORVb	0	0	N/A
1027983708333191171	"No sra ignorante no está de acuerdo en matar vidas inocentes. Están de acuerdo en que cuando alguna mujer decida ""matar esa vida inocente"" no se vaya la de ella en el intento. No es un debate si abortar o no. Es un debate en qué condiciones se hacen..."	0	0	N/A
1028005415446036482	La culpa no es de ésta mujer que “se hace” la ignorante sino de quienes la votan y le otorgan el cargo. pic.twitter.com/qBmcO2EnDV	0	0	N/A
1028090182669660161	Nosotras basta feminazi. Ponete forro.	1	1	misoginy
1028234422276055040	Me gusta el Kpop pero al menos no voy dando lecciones de moral sin tener ni puta idea, no voy de aliado feminista y luego permito comentarios machistas y tampoco me limito a un único estilo musical porque es de “guays”. Chico, que pena das.	0	0	N/A
1028301467541794822	Me gusta esta morga feminazi abortera nunca yuta pa los amigues	1	0	misoginy
1028305244520730627	Bakayoko con Sarri sería una bestia jaja que es broma, ni al lado de Dios Bakayoko podría mejorar su nivel, puto negro de mierda, vete de mi equipo @TimoeB08 jaja que es broma, Bakayoko siempre tendrá mi apoyo cuando sea cedido	1	0	racism
1028308274255482882	cono buen comunista tu tiras para el terrorismo...desgraciado maldito corrupto	1	0	political
1028356434692632576	jajaja.que ridiculez!!!El feto no es culpable de lo que la mujer dejo entrar antes,para que el http://exista.No  busquen justificativos,porque no los hay.Digan abiertamente que el pobre tiene derecho a robar,matar,y prohibido reproducirse,si es que los van a seguir usando	1	A	misoginy
1028363000829366272	O sea, según tú, si le digo que el joven Mijael es muy mal educado por tratar mal a una mujer, marcaria la pauta? Ok, no me interesa marcar una pauta, solo decir que es un patán de mierda e irrespetuoso con las mujeres. Si eres muy sensible no sigas esta cuenta.	0	0	N/A
1028384065832067072	"Volvió el discurso de ""inviables"" e ""insustentable"" y si se sacan la careta y repiten ""haga patria mate un jubilado"" o ""un negro/a de mierda"" ? De hecho lo están haciendo de ka forma mas cobarde @lacorrientek"	1	0	political
1028428595922980865	me duele hdp pero sabes como voy a salir del pozo negro este donde me tiraste. te vas a querer morir	0	0	N/A
1028440190120062977	Apenas le alcanzo para doctora. Una mujer tremendamente ignorante, hipócrita y descarada.	0	0	N/A
1028460406136823808	Pero si ese museo es de tu partido político... no cuentan como se llegó a eso. Esta bien que seas zurdo pero ese museo no representa a todos, sólo a algunos. O vamos a matar peruanos por que mataron a Arturo Pratt? Deja de joder!	0	0	N/A
1028636099252563970	Debe andar mal wsp porque nunca me llego el msj negro sucio jajaja	0	0	N/A
1028679060342415360	La destruccion de Venezuela es responsabilidad de todos hemos dejado a la mano inclemente del destructor ese Militar Narco corrupto, el dirigente chavista narco destructor corruptor y pregunto qué pasó con los gerentes de PDVSA que en la 4ta honestos hoy miserables corruptos	1	0	political
1028702361370456064	Este idiota fascista que celebra el CARA AL AOLNY BANDERA FRANQUISTA DICE QUE NO ES DE DERECHA. NO ME JODAS PATIQUIN	1	0	political
1028711525136183296	Nunca falta el integrante de la comunidad lgbti. Que dice soy del verde soy marica defendiendo a almilloron	1	0	homophobia
1028738574273990657	Madre mía! Pretender meterte con alguien llamándole “marica”... \nTampoco te voy a pedir más, eres madridista...\nSaludos	0	0	N/A
1028739223409631233	Este negro sucio cara e'mono que bajo a caído y que comentario tan marica.	1	0	racism
1028740060051656704	Amiga, si te buscan muchos hombres para invitarte a salir, no es porque seas la mujer más hermosa del planeta, simplemente te buscan porque saben que eres bien puta.	1	0	misoginy
1028740081098674177	@carlospeguer ns pq me ha recordado a ti en plan algun maricon y yo pegandonos y tu preguntando educadamente algo sjjsjsjsjs https://twitter.com/hansolicc/status/1027677180594143232 …	0	0	N/A
1028757415683125248	"when te pasan un video de lo que paso anoche y lo primero que dices es ""marica a lo bien ese soy yo?"" :'v\n\n#QueGonorrea :v"	0	0	N/A
1028764335303270401	No te lo crees ni tu misma maldita marica	1	0	homophobia
1028775441266626562	K dices?8ch8 ds un maricon yorica  q ace chistes ofensibos ,siendo mujer no t ofendes?bueno bueno,mujer....horco mas bn diria yo	1	1	homophobia
1028813188396195840	"Conmigo los ""Zurditos"" durán repoco! Al poco rato se dan cuenta que no tienen argumentos y empieza con el insulto de manual: ""ignorante, momio, facho pobre, nazi, asesino"" en ese orden! No te canses! Vale la pena terminar con el juego de la victimización y la manipulación zurda!"	1	0	political
1028908798549929984	A ajajajajajajajajajajajajajajajajaja this pinche enano indio de mierda es de los que ven Univisión a ajajajajajajajaja sigue creyendo eso	1	1	N/A
1028997104935596032	Mi Posición sexual favorita es agarrar una escopeta con bastantes cartuchos y matar a todo chavista, GNB y PNB que se me atraviese	1	0	political
1029026031448018946	-ningun tio asi que fuera. en fin, no solo eso, si no que en netflix españa solo estan las dos primeras temporadas en las que lgbt mis cojones. osea que os follen de verdad puto ascooo	0	1	N/A
1029131033277607938	ser de derecha liberal es ser un facho que en vez de tomar whisky toma piscola	1	0	political
1029517813046812672	Que estupido no podes robarle al chino y ensima te agarra la policia	0	0	N/A
1029871567025700865	«He sido mujer durante mucho tiempo, sería estúpido no estar de mi propio lado». \n(Maya Angelou, cuando le preguntaron por qué se consideraba feminista).\n.\nSimple, ¿verdad? \n#HeForShe #Feminismo #Equidad #PoderFemenino	0	0	N/A
1030114498760396802	Un negro vende humo. Lo hace todo para las cámaras, podía haberlas regalado y sin filmarse. Como central le cortó el chorro de los videitos no sabe qué hacer	0	0	N/A
1030186287041523712	Somos los Querandies, herederos de esta tierra. Somos nietos del indio que mataron esos hombres de mierda.	1	0	racism
1030213055790108672	Te amo puto negro recoge algodón @kanyewest	1	0	racism
1030258987013484545	¿Si un burro hace comida en rollo de pan de pita son burritos? — Pero los rollitos se hacen con torta de maíz como la torta que te voy a dar por este chistaco (??? https://curiouscat.me/SuteraBRS/post/616933584?1534467858 …	0	0	N/A
1030272329811734528	JAJAJAJA yo no soy feminista solo estoy a favor de la legalizacion del aborto. Ignorante vos que no tenes un buen argumento para debatir este tema, solo criticar desde afuera e ignorar que las mujer se mueren por abortos clandestinos	0	0	N/A
1030519427920474113	Una torta y un refresco a qué eres puto!	1	0	homophobia
1030888373664268288	De ser cierto, a ese comunista de mierda deben de juzgarlo y meterlo preso hasta que su cuerpo vaya a arder en el infierno	1	1	political
1030913489206951937	me tiene los huevos por el piso esta feminista de cartón, metete en tu culo y para de agredir, pelotuda de mierda	1	1	misoginy
1030949574565945345	@evoespueblo pedazo de cocalero genocida de shit, no hables de lo que no sabes, no hables de lo que no padeces, primero el buque es naval tipo hospital, Venezuela vive una crisis sin precedentes generada por el modelo fascista, comunista y hitleriano que tú profesas. Cállate!! https://twitter.com/la_patilla/status/1030938817845489665 …	1	0	political
1030967557476560903	como les da la cara para cagar a la persona que “aman”?	0	0	N/A
1030967564690771969	Estoy	0	0	N/A
1030967564812337152	No ya no	0	0	N/A
1030967566796292096	El respeto, se gana... No se merece, sin importar el sexo de la persona.	0	A	N/A
1030967567463137283	No quiero dormirme temprano 	0	0	N/A
1030967573221965824	Pues a mí me gusta más el nesquik que el cola - cao y la Pepsi más que la coca - cola\n\nWaiting for hate	0	0	N/A
1030967573758787591	Que chabon hermoso es alejo, es un gil pero se merece todo 	0	0	N/A
1030967577605025792	No quiero estresarme más por nadie	0	0	N/A
1030967577663746048	Quien sale con este clima horrible???	0	0	N/A
1030967577982455808	El mejor #DeleAllichallenge de todos, es de Santiago Arroyave, el futbolista que debutó en la A sin un brazo, tiene una malformación de nacimiento que se caracteriza por la ausencia de huesos y músculos.\n\n¿Quién dijo no era capaz? Escribió en su Instagram.pic.twitter.com/e7maxyeZHe	0	0	N/A
1031152201480200192	“ si yo fuera mujer estuviese conmigo” hahahaha maldito flow de Coscu	0	0	N/A
1031222678403919872	Acéptalo, hay un gran grupo de feminista que son violentas, terrible hijas de puta.  No lo negues  y ponete en contra de todas ellas como varios los están haciendo ya.  No le pedimos que dejen de luchar por el feminismo. pic.twitter.com/Fovl11mpZQ	1	1	misoginy
1031241930561269760	Detenido un hombre tras matar a su mujer de dos disparos en A Coruña http://dlvr.it/QgQ99L  pic.twitter.com/YtZ24VepjQ	0	0	N/A
1031258548494389249	Yo me enteré de este tema anoche y me pregunté: Qué hace esa Policía amamantando? \nNo había una leche para mamadera?  \n\nTampoco me parece normal que una mujer quiera amamantar a cualquiera que se cruza por delante. \n\nSácate leche y dásela con mamadera si es necesario.	0	0	N/A
1031570205858836482	Ya salio lo de Fachilla...eso no es un insulto para mi...Facha!!! Y a mucha honra...mejor que un asqueroso rojo comunista de mierda...	1	0	political
1031598425333276672	estafan con las porquerias haier y asi con todo. Uds ignorantes de mierda son complices de la desgracia de este pueblo y de permitir se destruyera este pais haga lo q haga el asno de maduro empeorara todo porq nadie le presta dinero a LADRON y todo chavista es LADRON asi q jodanc	1	0	political
1031605314485776384	Guacalaaa comer pollo podrido como el cerebro de la ramera politica q tiene por testaferro.	1	0	N/A
1031666822393806848	Estoy pensando en ofrecerme para transito de gatitos pero si el chino se encariña con otro gato y se lo saco me va a matar	0	0	N/A
1031689237039525888	Maldito mamaguevo bruto pana, Venezuela se ha convertido en el único pais que todo es ilegal cuando en otros paises es lo normal y un derecho, maldito seas tu y toda tu generación chavista animal	1	0	political
1031698633593380864	Basta de engendros como estos!! Otro que el negro de mierda y desperdicio humano de D’Elia, deberían procesarlos! Mira si ibas a decir esas cosas cuando gobernaban los laKras!!!\n#novuelvenmas	1	1	racism
1031709304066396165	Me cago en dios, CON MARIO NO feminazi de mierda	1	1	misoginy
1031710641583792130	"No sabes ni hacer el meme negro asqueroso. Es ""mmm vs dsis"" "	1	0	racism
1031773270868156416	Ahora que desmadre armo ese puto mierdo del negro santos? Es que me bloqueo	1	0	racism
1031852797132787712	Que se vaya al carajo este chino de mierda	1	0	racism
1031876076631482368	Quiero estar recibida pra estudiar algo que NO TENGA QUE VER CON MI CARRERA. Y ser al fin, lo que siempre quise: una feminazi de cepa.	0	1	N/A
1031906861514215425	Ay, qué guay, hacía mucho que no me llamaban feminazi! Esta noche cenaré fetos a la plancha para celebrarlo 	0	0	N/A
1031917387166113792	Niegan la libertad a la mujer que intentó matar a esposa e hija de Paco González http://dlvr.it/Qgd42V  pic.twitter.com/509dZ4EUyK	0	0	N/A
1031928352855285761	Mi día partió como las weas... pero mejoró un poquito porque un cliente nos trajo una torta de regalo para todo el equipo \nAhora va a seguir siendo un día de mierda, pero al menos será un poco más dulce y llevadero.	0	1	N/A
1031960594805604354	Que puto agobio que pesadez de mujer estoy hasta los cojones	0	0	N/A
1031978585391804416	Estúpido imbecil, poco hombre, nunca, nunca maldito comunista debes tratar a una mujer de esa manera. Si a ella la tratas asi, recuerda q seguro tienes mujeres en tu familia y no te gustaría q se expresaran así de ellas, menos por una maldita ideología, cobarde. https://twitter.com/luis_xen/status/1031657551576936453 …	1	0	political
1031982899430678528	La próxima temporada se llevarán los grises metálicos y el beige; y de noche, el clásico negro, con toques rojos, para matar seres humanos con estilo.https://twitter.com/ActualidadRT/status/1031976179761332226?s=19 …	1	1	racism
1032026776850055175	Viejo marica, usted y el.hpta de @sergio_fajardo	1	1	homophobia
1032040280550240257	@NicolasMaduro oye gordo maricon criminal échale la culpa a santo y a los Estados Unidos del temblor,cobarde hijo de puta	1	0	political
1032043946338344960	No lo niego, pero estaba en Barcelona, no en Oran o Bagdad... Lo tenía bastante más fácil... Aunque la verdad, creo que hay mucho marica reprimido en los yihadistas, yo...	1	0	homophobia
1032044474418061315	Esta es una de las fotos que más me gustó de todas, tanto que hasta la tengo como fondo de pantalla.\nPero marico me perturba que tenga el maldito punto negro en el sol, se que yo mismo lo puedo hacer con Photoshop pero que ladilla pic.twitter.com/n9JEP0mOG5	0	0	N/A
1032053061534052352	Joder  joder...\nQue no tiene nada de malo cambiar por un hombre dice y que es feminista pero el hijab que la obliga a cubrirse eso debe ser lo mas puto feminista del mundo, mas incluso que no depilarse el chocho como reivindicación.\nQ vergüenza me da como mujer y feminista q soy.	1	0	racism
1032066382240907265	Ninguna sorpresa. Un chavista. Sinónimo de chavista: bestia ignorante.	1	0	political
1032070938257448960	"Nosotros dijimos ""negro de mierda"" lo cual es un insulto solo por las palabras ""de mierda"", la única racista que piensa que decir negro es una ofensa es ella.....\nPensalo"	1	1	racism
1032095489825624065	un negrata	1	0	racism
1032243394473598976	que pasa con el #UDIOTA del intendente MARTINEZ de #Valparaiso que como todo facho le estaba echando la culpa a los extranjeros, minimo que pida disculpas el imbecil  !!!!!	1	0	political
1032247377443414017	Amiksssssss sálvenme del profesor facho que tengoooooo	0	0	N/A
1032259420007399424	Es una chavista de mierda enchufada	1	0	political
1032261189462646784	Está mina quedó en evidencia con este tweet. Lo viene haciendo desde siempre con ese pensamiento facho. En @Megatlon se hacen los boludos con esta mujer q hace años viene escribiendo lo mismo. No hay ni una gota de arrepentimiento en ese discurso q le hicieron hacer.	0	0	N/A
1032309295050829824	El Teatrino aplica la censura y la persecución al igual que la dictadura. Gorilismo facho izquierdoso.	1	0	political
1032353506232074240	Rompiendo todo ? Antes de un derecho, existen obligaciones, orden y ley. Entendés ? Que me digas facho por pretender orden, habla de vos, no de mí	1	0	political
1032354816738164737	Soy como el hambre negrata porque agudizó el ingenio	0	0	N/A
1032997705918885893	No se trata de intolerencia, Rey, Del moro me parece un tipo mediocre, que no tiene nada interesante para decir, me parece el ejemplo de la frivolidad en la política. Su programa es un show berreta, no un programa de debate. Es cuestión de gustos	0	0	N/A
1032998684475179008	Dale chino de mierda.	1	1	racism
1033007530878885888	jamás vas a sufrir bullying por tu orientación sexual, jamás te van a mirar raro o te van a decir por abajo 'puto de mierda'. así que no me vengas a decir que no sufrimos pq por gente como vos es que a alguien le da miedo decir que es lgbt	0	0	N/A
1033116919656787968	Como el títere idiota de García Llineras y el combo zurdo que siempre fue. Se le ven los hilos a los titiriteros. Quizás les demos una gran sorpresa un dia de estos.	1	0	political
1033441893093453824	Mi bimbo podrá ser puerco, idiota, ladrón, comunista, pero nunca vi que pagarán sus impuestos. https://twitter.com/cesamo70/status/1032888488243482625 …	0	0	N/A
1033545969252618241	Mi padrastro me presume que esta comiendo Doritos con Chedar... maldito negro	1	0	racism
1033829598277062658	Me muero, hay uno que me está discutiendo y me dice puto, si se entera que en realidad soy torta se cae de culo	0	A	N/A
1034059750852517888	Y de onda, no entiendo porqué es tan venerada. Tiene 2 o 3 hits de hace 25 años, todos escritos por otro y/o covers. Como música no es particularmente virtuosa, vende humo con el look de rota. Si hay algo que le admiro es que haya podido llegar al éxito siendo mujer y mediocre.	0	0	N/A
1034068846318182406	Maldito viejo imbecil comunista de mierda https://twitter.com/clarincom/status/1034059993484484610 …	1	1	political
1034072844454514688	Oootro billete con ese puto indio ladino? Neta? Los pitomil años de historia no nos han dado otro personaje?	1	0	racism
1034097140363132933	Que hdp que somos,no trajimos torta y fuimos a pedir a otros cursos	0	0	N/A
1034114163138875394	Franquista y asqueroso es una redundancia sin duda, como decir comunista idiota, es lo mismo,	1	0	political
1034115070089936897	Puto chino explorador de mierda pic.twitter.com/YMdz5N5F2v	1	0	racism
1034238526488014848	Me caga la puta competencia de mierda que existe entre los hombres de mencionar el nombre de una mujer y responder en automático “ya me la di” o “ya se la dio tal” aunque a veces hasta sea mentira. Es lo más odioso y ridiculo que existe.	0	0	N/A
1034300718176452608	Anda a la peluda concha de tu madre feminista de mierda. ANDA A LA COCINA AJKAJSJSKSJJSJS	1	0	misoginy
1034385275160616962	Qué vieja fascista! Te quiere Imponer un muerto y chorro como sea!	0	0	N/A
1034539573110550528	Excepcionalmente corrupto, homofobico, xenofobo, fascista, misogino. digno embajador de una congregación de idiotas que votan NO a la paz, y se abstienen de votar la consulta anti corrupción e idolatran un criminal con cara de yo no fui.	0	0	N/A
1034590766474113024	Luego una mujer ataca los chistes machistas y ya no sois tan feministas, a ver si va a ser que no sois feministas sino racistas machistas homofobos y clasistas de mierda compaleros	1	1	misoginy
1034608077427929088	"Y, cómo no, aparecen feministas intentando justificar la reacción incívica de esta energúmena. Seguro que si un hombre le dijera a una mujer ""no me toques, zorra"" por exactamente lo mismo, lo entenderían y justificarían, claro que sí..."	0	0	N/A
1034655204984143872	-aaayy flaacaaa con todo el respeto que se merece una señorita, sos hermosa\n- chupame la pija negro culiado.	1	1	misoginy
1034715522879905792	La Vanguardia dice que si a una mujer la agreden porque sus hijos retiran lazos amarillos y la llaman extranjera de mierda, no hay móvil político. El nacionalismo siempre es xenofobia. El catalanismo es racismo.	0	0	N/A
1034785678893232128	"Como ya es usual, detrás de cada idiota siempre hay una gran mujer”. \n\n~(John Lennon)."	0	0	N/A
1034874341815713792	A ver si os enteráis de una vez los tíos: la prostitución no se regula ni legaliza, se ERRADICA. Ninguna mujer es puta por voluntad propia. Joder.	0	1	N/A
1034875641634713600	SuA es la mía también la tipa Canta, rapea, baila y hace coreografías y encima es hermosa esa mujer nos va a matar a todos	0	0	N/A
1034920805984075777	Países que le brindan refugios y asilos, existe una hiperinflación culpable la guerra económica y el imperio, acabaron con las reservas en dólares y culpan a USA, pero es el único que paga cash el petróleo cuando vamos a culpar al régimen narco/comunista corrupto de maduro	0	0	N/A
1034943383695970304	A mi no me estés dando RT chavista de mierda @davidcolve	1	1	political
1034958584516419585	Los dirigentes tendrían que prepararle directo el bolsito a este negro chupa pija de centurión	1	1	racism
1034960260392525825	"En mi país los asesinos, homicidas y feminicidas son delincuentes. Ya le puse el ejemplo de ese musulmán que salía a matar mujer por serlo, y el lo declaraba alegremente. El resto de delincuentes tienen muchos factores para desencadenar en el ""feminicidio""."	0	0	N/A
1034964285573746690	Q asco te tengo negro puto	1	1	racism
1034975662581460992	@MariaThumbtack muerete de una  puta vez  feminista de mierda	1	1	misoginy
1035039236595040258	Este zurdo de mierda no me deja dormir en paz	1	0	political
1035131890670489600	Por ahí vamos bien ...Gentuza que va de justiciera y son feminazi marxistas leninistas...!!!	1	0	misoginy
1035193422477516801	@NiuRadio #AlóSolte me carga mi tía que me webea xk estoy gordo y cuando la voy a ver me espera con un sendo pedazo de torta y un vaso gigante de coca cola cómo quiere que adelgace vieja de mierda! La amo y la odio	0	0	N/A
1035197340603310080	Que negro de mierda como me voy a gastar 4 lucas el primer día en Brc jajajajajajja	1	0	N/A
1035234636585164802	Cerrá el orto zurdo de mierda, ¿Querés bajar y nos fajamos boludo?, ¿QUERÉS BAJAR Y NOS FAJAMOS?	1	1	political
1035235383829843970	Mi mama es la mujer mas buena que ahí y yo tan mala hija,se copo y me llevo la moto caminando al taller no puedo ser tan hija de puta yo.	0	0	N/A
1035265545153798144	Que suba cualquier cosa , menos otro peroncho al gobierno. El socialismo comunista de mierda que nos atrasó, robo y mintió a todos por 70 años tiene q desaparecer totalmente	0	0	N/A
1035272574450761729	Me refería a mi parte p maldito marica	1	0	homophobia
1035272968375623682	"El desgarrador hilo sobre la palabra ""marica"" que ""debería leerse en todos los colegios"" https://www.huffingtonpost.es/2018/08/30/la-durisima-reflexion-viral-sobre-lo-que-ocurre-en-los-colegios-con-la-palabra-marica_a_23513059/ …"	0	0	N/A
1035282839170936832	Para aclarar... El twiteo del sujeto en cuestion me parece patetico. Si fuese una amenaza... Mas seria... No importa si es facho, comunista, dc o pulpo. Debe ser castigado.	0	0	N/A
1035284340299755521	Podés ser tan hijo de puta para bardear a una mujer que busca laburo? Sos una lacra!	0	0	N/A
1035295817396088832	"++con coches, y cosas así. Cosas así también depende de los padres y todo, estaba poniendo un ejemplo. O el por poner otro ejemplo, lo típico de llamar a una mujer ""puta"" por estar con muchos hombres, y a un hombre ""puto amo"" por estar con muchas mujeres. Cosas así."	0	0	N/A
1035296439025524736	Siendo sinceros que marica se vio Cristiano no estando en la gala de la UEFA, solo por que no ganó. Su ego no lo deja ser más humilde.	0	0	N/A
1035300459236474880	Hay q ser verdadero cobarde y maricon, para tratar de sacársela de esa forma. Típico serrano hipócrita!!!!! Ni Gaibor vales.....	0	0	N/A
1035381651830919168	Como ven de que se la da el negro sucio de sanico pinche bloqueado.	1	0	misoginy
1035498064402890752	Queres twitter?Vas a tener todos los que quieras,facho impresentable!!!!	0	0	N/A
1035503071214923776	Por el tema foto nose... pero ese punto de locura creo q viene bien jajajajaja ademas es negro coño puede hacer todo eso que le salga de los cojones, le va a quedar bien jajajajjaja puto nigga	0	0	N/A
1035626498395447303	O bonelli dice estupideces de viejo Gaga o voy a tener que iniciar un juicio por trabajar en negro, trabajo esclavo por que vivo usando el celular cuando tuiteo y finalmente, voy a agregar trabajo insalubre por tener que leer la sarta de idioteces k!! Ya tengo ganado el juicio	1	0	N/A
1035638395765235713	Mira bart, es un sorete zurdo garca hdp silenciado	1	0	political
1035677748902199297	Reunidos como buitres,listos a comerse la republica.\nEl peronismo asi , yno le conozco otra cara, no es un partido, movimiento ni ideologia republicanos.\nSus acciones confirman el origen fascista y prepotente.\nPobre pais este, presa de ladrones y corruptos.	1	0	N/A
1035734347935113217	Esta aptitud es criminal genocida y psicópata a diario mueren niños mujeres y personas mayores por desnutrición y falta de medicamentos.... La nueva oligarquía rancia y fascista roja nacida del saqueo y la traición defiende su botín sin importarles cuantos venezolanos mueran! https://twitter.com/DiarioTalCual/status/1035690773835141120 …	1	0	political
1036013974179987457	Lula da Silva, Cómplice y artífice del saqueo más grande de la historia de los pueblos latinoamericanos. Éste comunista debe pagar completa su condena por ladrón y corrupto. Falta juzgar a sus compinches; Cristina, Evo, Rafael, Daniel y Raúl Castro. Ya Dios hizo su parte.	0	0	N/A
1036027117354532864	A tipos como a ti no solo importa el iva, sino el dinero que está detrás, del que muerden\nTotal el disgusto con LM es porque han sido distanciados de la torta\nObvio, para ser correista se necesita ser burro o ladrón\nBurros, burros no son. Pero para ser ladrones deben ser borregos	0	0	N/A
1036349802483789824	Jajaja yo igual cuando entre ví un maldito círculo negro y todos comentaban como q lindo te quiero y yo como les gusta el círculo? Yo bn idiota salí después de media hora entró y subo todo el brillo y lo ví y entonces entendí  ay kyu como eres te amo https://twitter.com/nanigreenpeas/status/1036022316495511552 …	0	0	N/A
1036468315332505600	Para este puto estrés, una torta ahogada o tal vez tres	0	0	N/A
1036603932687167491	Jamás olvidaré las palabras del hdp de @NicolasMaduro cuando dijo el plan que diseñe, ósea en esta mierda ni los ministros sirven, ahora bien chavista / madurista, no salgan corriendo aguanten la pela porque aquí estamos gracias a Ud, recuerden PATRIA SOCIALISMO O MUERTE...	1	1	political
1036616659618983937	marurodesia jajajajajajajaa que atrevido chino de mierda	0	0	N/A
1036696986307715072	Al menos pretende algo superior a recibir una caja de comida al mes y a un bono por vagancia, maldito parásito chavista.	1	0	political
1036707610165174275	Pero qué payaso y ridículo es. Me hace el día entero este perrito faldero de la izquierda chavista.  https://twitter.com/El_Universal_Mx/status/1036686240270016516 …	1	0	political
1036843537323749381	Agoniza #UNASUR, ya era hora, con tanto zurdo corrupto y muchos ya en la carcel. #Lula.https://twitter.com/elcolombiano/status/1036841516935925760 …	1	0	political
1036910091428085760	Idiota basura comunista ladrón asqueroso solo quieres destruir España chavista de mierda pic.twitter.com/cY6QGK27cQ	1	1	political
