text	HS
RT @DjChubbESwagg: &#8220;@jemelehill: ::faints:: RT @desusnice: She has no idea how many of her resumes went straight to the trash http://t.co/D&#8230;	0
Someone probably told him 6 God was trash.	0
That crow has socks	0
Whoooooaaa no chill savage &#8220;@CantBeLocal: Here monkey monkey http://t.co/wmZ8s3j6iG&#8221;	0
@Corey_D_23 damn bro.. ps4 trash lol	0
RT @sisssyhaymaan: If you brush off a guys compliment just because you have a boyfriend, you're a bitch	0
#wallofthewasatch bitch!	0
Some movies are made to facilitate dudes to pick girls up. Think out side the box lil nigguh	0
Denzel did his mf thang in his new movie boy I swear OML he played the shit outta that bitch had me in the movies ready to be a killer &#128526;&#128514;&#128514;&#128175;&#128588;	0
RT @TedOfficialPage: Your opinion is irrelevant because you are a cunt	0
"""Uh-uh, what do we have? Your empty heart, my empty bottle, a yellow cab.. That you would like to catch cuz yo latest ex made u mad.."	0
RT @C_da_Esquire: Who tweeting with last night pussy/ass or dick on they breath this morning?	0
"RT @_Foreverfamous_: ""@vintage_monroe_: &#8220;@VineForTheByrd: Girlfriends Be Like....&#128514;&#128557;&#128588;&#128175; https://t.co/QM5XDxNQyN&#8221;bitch we don't want him""&#128514;&#128514;&#128557;&#128557;&#128128;&#128128;"	0
bitch you're white stfu with your shitty Spanish	1
LMFAO RT @RickiRoma: &#8220;shut up u slutty white hoe RT @Thotcho: Didn&#8217;t know the Pats got DESTROYED tonight LMFAOOOO&#8221;	0
RT @ygAddie: Obama a bitch.	0
i think im addicted to naked pictures an sittin talkin bout bitches we almost had	0
@Buckm00se Joe Cortez is the ultimate faggot that fight proved it	1
RT @thereal_EMandM: Settling down is for pussies	0
bad bitch bouncing on my pogo screamin yolo - that nigga juelz	0
never trust a hoe	0
This wigga didn't follow me back.. Smh	0
Is it weird licking your own nip?	0
I think I found a normal roommate again! Praise be to Jesus! These current ones are about to get their throats slit in their sleep!	0
"""@DiamondLoudKush: The fuck be wrong with these bitches?"" Nobody knows"	0
Memorial Weekend early bird wine walk price is still available! We have 21 participating locations http://t.co/bBYoTneeBn	0
#porn,#android,#iphone,#ipad,#sex,#xxx, | #Desi | paki http://t.co/cOfGRtW9br	0
Last night this bitch was talking bout she wanna smoke &amp; go to wingstop. &amp; I was the 1st person she thought about.. Who paying for all this?	0
Fuck Ur god until dat faggot strikes me down	1
@Ehh_DontTouchMe @kourtj3000 @bria_leeandrea thats ghetto..	0
@elchavaloko Toma ESO negros @panama	0
You can't spell Patrick without trick so trick or treat bitch	0
That bitch is corn fed	0
@coolstorysam @MorgannnDee i thought you had some fucked up birth defect that made your nips heart shaped lmao.	0
RT @jaimescudi_: Niggaaaaaa, why these bitches trip so hard over a nigga? When will they realize they're gonna grow up &amp; regret the fool?	0
RT @WifiOverHoes: idgaf what you bitches say about me &#128514;	0
RT @michellemalkin: Good morning to you, too, sunshine! RT @miembrotropa: @michellemalkin dirty bitch	0
RT @thecoreyholcomb: Every man can't have a bad bitch. But in this country if you got 100$ cash &amp; r willing to go where poverty roams, you &#8230;	0
RT @HannahPike_: I think I'm addicted to naked pictures and sit talking bout bitches that we almost had&#127911;	0
RT @HugMakeEm: I love a bad bitch with a attitude, idk why but a cutie that's a savage is sexy as fuck	0
we live in a world where drake can steal your hoes and make fun of you, shit crazy	0
Twitter niggas always want you to have unprotected sex with these nothing ass bitches. NAH	0
@ZitlalyL &#128529;&#128529;&#128529;&#128529;&#128529;&#128529;&#128529;&#128530;&#128530;&#128530;&#128530;&#128530;&#128530;&#128530;&#128530;&#128530;&#128530;&#128530;&#128548;&#128548;&#128548;&#128548;&#128548; How is he supposed to attract bitches in a tutu though? &#128530;	0
@BetoDavidThomas @JesseCanon bitch my mom didn't call you	0
"Amennn!!!!! ""@WomenLoveBrickz: If your girlfriend doesn't like that bitch, you don't talk to that bitch"""	0
You ain't my main bitch so why the FUCC do you care !!!???	0
RT @Humxnerror: we can't be cool if you gonna be a little bitch all the time	0
' If I ever put ma trust ina bitch , I'll always be hurt ! &#1043323;&#1043323;	0
"When bae dodges hoes cause he only want you &#128525;&#128553;

&#128514;&#128514; http://t.co/bLYYoLtP0k"	0
"8/16/14 MO @GovJayNixon let &#8220;kill some crackers, kill their babies"" New Black Panthers hijack his #Ferguson presser http://t.co/z2Wko9Ripz"	1
"What's a Queen without a King?

...A lonely ass bitch!"	0
Yaaasss! RT @LoveMsLiz: When a hoe is talking about how they really don't be hoes..... &#128530; like girl, if you gotta explain it.. 9/10 a hoe.	0
Bout to make some brownies in a few.	0
@ryancruz_ brandy wanna b down ass bitches &#128533;	0
"Two hoes? RT ""@xoxo_imaunicorn: y'all know what we are?! &#128514;&#128514;"" http://t.co/0xljzWBtkr"	0
@Jo_clark6 @breezysofresh24 no homo bro love ya to!! Lets get some 151 an some Malibu rum!! Tech 9 this bitch haha	0
I never put no hoes b4 my bros	0
So toodles to you bitches , goodnight! &#127769;&#9729;&#65039;&#127776;&#128164;&#9996;&#65039;	0
Permanent slit in my eyebrow from when I tumbled down the bleachers when I was little.... I stayed in the ER	0
"""Will shank a bitch for ceviche"""	0
Nigga getcho bitch, treat her how she wanna be treated but I ain't triccin &#128175;	0
&#8220;@cierravillela yeah it's really far and it's alright if you like living by a whole lot of hicks haha	0
RT @abreumegan_: Sex on 1st date dont mean you a hoe, waiting 90 days wont make you a wife, cute pics dont mean y'all happy, having a title&#8230;	0
&#8220;@VishalDaGod: fuck a #WCW dats my bitch , not my crush&#8221;	0
"&#8220;@PharaohJas: ""Darkskin Girls Ugly"" &#127383;&#127378; http://t.co/DYeAY2t5AA&#8221;flawless ass bitch"	0
Fredo was a bitch ass nigga. How niggas fire over 20 shots at his pops but he didn't get off 1 cuz he dropped the gun smh	1
i ran out &#128553; RT @sadonna_rae: This hoe just texted me asking to borrow a roll of tissue until tomorrow &#128555;&#128555;&#128557;&#128557;&#128557;	0
Her pussy wet I call it Fiji water	0
RT @drunksixthgrade: 7th grade bitches &lt;3 http://t.co/USAEZLCs5v	0
RT @HEGS_com: What's that bright yellow thing the ref just showed to Martins Indi?! I can't remember seeing one of those before! #clubmetro	0
&#8220;@Kevhoeee916: If I couldn't trust some of the homies how could I trust these hoes?&#8221;you can't lol	0
RT @Woody_AFC: @MANIAC3X @_WhitePonyJr_ lmaoooo what a bunch of fags	1
@SammyLightning_ I roll up to a bitch an dey like http://t.co/ja8t60VgGE	0
The Perfect Gift for the Jihadi on Your Shopping List http://t.co/wTNOloSY4t http://t.co/AuTAVOeG2u	0
Cut them niggas off they aint yo friends , Cut them bitches off they just pretend	0
gotta clear ya throat of all that pussy eh... RT @johnlacarbiere: My voice is the deepest in the morning	0
@nekolin @DestroTheNoble naaaa, just the faggots! So....I guess you wouldn't be around very long....would ya!	0
RT @kuczaaaK: I'm getting trash talked by a 8 year old #wtf	0
"RT @TheDrunkStory: ""My bro made out with an ugly chick at a festival while drunk so now he's known as Larry bird because he hits ""threes"""" &#8230;"	0
RT @pocahontias__: Idc about yall bitches yo	0
@cj_menaa1 &#128553;&#128553;&#128514;&#128514; nigga doing the duggy on dem dead hoes lol	0
Wifey had the hoes back then &#128514;&#128514;	0
It's out b day bitches!!!&#128540;&#128540; @koleworld4 http://t.co/IuKRTw2icw	0
&#128072;never been a coon grew up with bokoo coons tho but never was 1 I did some coon shit tho	0
I laugh at this bitch	0
RT @_HolySmokes: If you can't eat pussy that's got hair on it I'm not even sure you really know how to eat pussy.	0
But bitches are crazy, I'd be in jail for sure	0
Im in a full suit bow tie and all at a restaurant &amp; called my frat a bitch ass nigga.Caught myself Bc Im around white ppl staring at me lol	0
Follow a nicca on IG: im_hollywood_jay	0
we in here turn up turn up wheres the bitches	0
RT @TheVoiceOfMiami: I wonder how many of y'all hoes got homegrown sex tapes online and U.O.E.N.O	0
I'm just tryna get to sleep before the birds start getting rowdy.	0
Lady next to me gon say her cooch is itching &amp; burning she thinks she got a uti. No bitch that's something else down there	0
RT @KatiePavlich: Charlie Crist doesn't have any more political parties to join, but he could become a spokesman for a fan company.	0
"RT @AIIAmericanGirI: &#127482;&#127480;
FEC May Yank 1st Amendment Guards for Drudge, Rest of Internet https://t.co/pVe5nNAOkV #wiunion"	0
Thirsty bitches&lt;&lt;&lt;&lt; Not attractive	0
RT @Papa_Woodall: I hate bitches who be laughing with they teeth. That shit is scary as fuck to witness. Like cover your mouth hoe.	0
@firemunky When did we become a nation of giant dripping whiny pussies, anyway?! MAKE THIS DUDE PRESIDENT! Of Iraq, even. He's the MAN!	0
RT @elchavaloko: I can see moose rockin himself back n forth in a corner of n empty room with his faggot hair all in his face sayin 2 himse&#8230;	0
Bum ass hoe	0
@IIiirb bitch ass	0
High then a bitch of them bong rips, steady smoking 11 g's with my nigga Jorge	0
Oh well, you lil stupid ass bitch I don't fuck with Youuuuuu RT @HoldMyPurseGirl: Idfwu is a bitter ass song and only fuck niggas like it.	0
"RT @varepall: Charlie Rangel on GOP: They 'believe slavery isn't over' http://t.co/I8nolg9m6O

RANGEL IS A FLAGRANT TAX EVADER AND RACIST"	0
"#inktober #twentysix #gouache #mt snappy pappy and his bitch 3.5x2.5"" good thing sable paintbrushes&#8230; http://t.co/4gYBEI5Mkl"	0
@K_forKicKs tf bitch you had brain surgery and aint tell me??!?	0
I'm not a ho like you. Your body count probably is close to 100	0
These groupie bitches wild enough to suck a babies dick	0
@karlamorenoo dont even trip my niggah i got you lol	0
RT @LeBronVuitton: I'm not lickin that mini fro bitch&#128530;	0
@mightyfar they need to stop picking up UFCs trash though and build up there own fighters more.	0
@GYPMATIC45 i pissed alotta ppl off on fb i was flooding the newsfeed next target them hoe ass texans	0
RT @rasheed_wavy: @vivalakristia he bein a bitch	0
&#128563;&#128563;&#128563; RT @winterlove___: &#8220;@thisisyoungdj: Every girl got a #wcw and fake gay til it's time to eat sum pussy. But I'm &#128564;&#8221; not me &#128523; lol	0
escort missions in games are universally trash	0
RT @__sabrinaaaaa: the same hoes is still at it	0
There's like one of my ex's that's still kinda cute. Most them bitches got fat.	0
@Jazwau &#128528; who did you rob, them hoes like 4 online	0
I ate a monkey. #AndNowIHaveEbola	0
Or I'm vibing and they ask to see the aux cord knowing they bout to play some trash &#128530;	0
Verizon customer service is trash as fuck. I've been in the store haven't been greeted or nothing.	0
RT @ahmiryoung Lakers on....I thought trash day was Monday	0
&#8220;@crystalinag: finger a bitch w/ my trigger finger&#8221; nigga shut up	0
RT @Pooh_foe: Niggaz talk more than bitches these days..	0
RT @TORYRVGXR: I be in yo bitch pussy like http://t.co/GJXThTpjpU	0
@ChaseBasford chase you God damn faggot &#128514;&#128557;&#128514;&#128557;	1
@Jaydillz they're both big bitches tho lol	0
Don't judge me.. i am vindictive and vengeful when it comes to bitches disrespecting me.	0
If I hit you w/ that shotty bitch I bet that body flip	0
Side hoes need rounds too... RT @Peachpapayya: They always play stupid hoe song back to back	0
@HeilSidious hmu when you're good to go bitch	0
Yo if you get like over 25 of flappy bird you need to do some self evaluation because you probably have no life	0
Man these bitches are so boring yo. Where the outgoing, fun, wild bitches at	0
N then the hoe sooooo ugly like bitch you ugly dog like dumb stupid ass ugly like &#128514;&#128514;&#128514;&#9996;&#65039;&#128129;&#128581;&#128076;&#128080;&#128080;	0
RT @BkBap: ...like to have a seat on it. I also don't assume that because a woman contributes to a sex convo that means her pussy is open f&#8230;	0
If pussy lips could talk ill go down there like it's whispering	0
It would be pretty cool if I got to see @boybandproject 1 more time before I go back to hillbilly town! @TheZacMann @levimitchell...&#128531;	0
RT @SunFlowerTrue13 @ThoughtsOfRandy Im speaking on Ho niggas + hoe niggaz probably don't dig natural styled hair period...	0
How bout them redskins?	0
@dliming35 fuck you bitch	0
RT @ClicquotSuave: bunch of rappers boutta flood the internets w/ trash remixes	0
@jessicacassell1 find a new hillbilly!! #spiritweek!!	0
@Titan21Mtzzz vegeta is a little bitch #TeamGoku	0
@VinniePolitan the cunt needs her hands cut off!!!!!	0
"""@YoungRicooo: Sad knowing that most hoes won't fuck with you bc you ain't got stacks."" wait till friday"	0
"@OptimusOdd mine will say ""the intimidator"" &#128514;&#128514; cause bitches can't handle it.&#128514;"	0
RT @JohnnieGoings: Money, clothes, hoes, and cars. #Merica	0
Not a cloud in sight, too pretty to ho to work. #iwanttoplay	0
"Ya need a real nigga shawty, so come &amp; throw that pussy shawty.

Studio"	0
It's October babe, you don't have to be a hoe anymore.	0
"RT @__DatTootieGurl: ""@1stBlocJeremiah: These hoes got more bodies than a cemetery&#128056;&#9749;&#65039;."""	0
@LaurenJauregui so your a dumb bitch?	0
Kangaroo jac ! &#8220;@WayneL_Jr: A Bitch wit dry weave RT @taelar_bby: Fuck I look like hoe http://t.co/HKmTwgp9ah&#8221;	0
RT @Jukeyxo: If a girl sit on your face, and your nose goes into her pussy, and she rides your nose like a bull, she's a keeper.	0
@danusaur @GoldenArmada_ we don't love these hoes	0
' Ima pull up , eat on that pussy and dip &#1041219;&#9996;&#65039; ,	0
Watch my Twitter bitch	0
RT @mindofamadd: &#8220;@MelilliTay: If you call my mom a bitch, your getting knocked out.&#8221;on mamas &#128076;	0
RT @VersaceSilk: When you try to tell grandpa that 70s music was trash https://t.co/kYULQZoBC6	0
"""@Poffalicious: Andrewbryant: Poff has double vision after 2 beers
Poff: ... Double pussy &#128526;"" smh"	0
What a fucking faggot	1
@jesstoth we could get matching burner phones and be ghetto fab for a few months	0
Never tell a bitch that I love her	0
RT @RakwonOGOD: Lmaoo bitch what? http://t.co/2dhLgXcVg2	0
RT @CurrenSy_Spitta: Fuckin hoe ass Click it or ticket.....25 dollars n shit	0
RT @DineroLoco_Bo: If a nigga fuck my bitch dats on ha cat .. but ima leave yu alone fa being trifling	0
RT @TheTumblrPosts: This is why Charlie Sheen is an idol http://t.co/6ovXRtTxtN	0
' On twitter say she ridin for a niggah &#1041219;&#1043215; . That's why I really fuck with her , she down to pull the trigger &#1041653;&#1043359; .	0
Seen it all before , bitch got a man but she scheming on the Low &#128564;	0
She a dirty bitch and I dotn have a doubt	0
...aaaaaaaaand it begins. RT @RileydaKafka: Fucking niggers that's all Kentucky is and ever will be	1
Translation for the slow he out saving hoes 1 by 1 RT @CiscoAllDay: Out here saving lives! &#128557;&#128514;&#128557;&#128514;	0
Cutler less skill at QB than a retarded quadriplegic	0
"""You can take someone out of the ghetto, but you can't take the ghetto out of them."""	0
@TheCheekyD_ Hi :) Yeah, trolls are annoying but don't concern yourself with them. They're all twats &amp; have no life lol. Just ignore them. x	0
@_reathie u better sit yo ass in that bitch til 330	0
Lol that's some hoe shit	0
"""Ain't that about a bitch""... What does that mean?"	0
@WyattNuckels I'm not fake bitch meet me after school then nigga	0
RT @AndyyDotCom: You gotta be a weak bitch to let a couple tweets get you out of character.	0
Basic bitches everywhere	0
So pissed I forgot that Saiyan bitches infio. She gave ne her IG tioo,. FUCK	0
ain't my hoe, I just thought it was.&#128524;&#128080;	0
"""@OSAY_it_aint_so: &#8220;@IgnoreAllLaws: Fosters home for imaginary trash&#8221; WHOA CHILL""

that show was everything tf"	0
"RT @LoyalPeopleOnly: Kanye was like... ""If ANY of you bitches even THINK about attacking me in the elevator&#128527;""

https://t.co/1TI5K1f1sf"	0
@RSBerto Dumb Haitian fake black faggots. Go to Haiti and neck yourself.	1
"RT @that1kidzi: Ohioans clowned on Kid like, ""It's sooo warm here! What the fuck is wrong with Minnesota?"" Well that bitch Karma teamed wit&#8230;"	0
Texting this bitch like she main material fuck that shit ... She Finna get these youza hoe text	0
@rhythmixx_ @jaymcnuggets ohhhhh you bitch	0
Stay witcha nasty little hoes who don't do shit for you.	0
RT @Kevin_McAdams: Stop being a little bitch and #fuckherrightinthepussy	0
RT @ballerlifee: I took the hoe to burger king&#128514;&#128514;&#9995;&#9995;	0
"this bitch said ""Bookie spend the night with me for a week"" Wait.. what? you got me fucked up lol"	0
Me n niccas ya type Neva exchange #'s .. Wanna talk down n still gain from us!	0
My high school need to gon and throw a hood reunion party. Everybody knows we was ghetto as hell.	0
My lil bitch just called me, said she needa break. But you can leave.. Cuz bitch I'm doin GREAT!	0
Dudes stay trying to hit on someone elses bitch, knowing they already taken.	0
done everything but trust these hoes	0
RT @HoeFact: Don't trust these hoes http://t.co/03SoHP4P41	0
"Can you really take dick or nah?
Can I bring another bitch or nah?"	0
RT @RmpHarris: Told my home girl bitch you bet not change on mee	0
Lol!! &#8220;@ItzSweetz_Bitch: Ooop! QT @TiFFANY_P0RSCHE: You little twats.&#8221;	0
Ya bitch choosin http://t.co/lHvGnYZCkr	0
"RT @PizzaBeforeHoes: Move dat muscle hoe &#128548; 
""Tell me watchu mad foe""&#128170;&#128514; https://t.co/wlvTLgGDPg"	0
Yall can stop RTing that whataburger shit too cuz I'm still gon eat there. Shouldn't have ordered the chicken dumb bitch.	0
Oreo Shake, I want you.	0
RT @MELODICthunder: Nah, 2013 was trash RT @IshaboiBrandon: 2014 was so trash dawg	0
Had to get that hoe shit off my TL	0
Hustling aint for everybody either .. Jus like certain niccas can't hoop or play football certain niccas can't hustle	0
Bring a niggah some icecream	0
@longbongchris same here nigga the minute it dropped I got it. Fuck with our team bitch	0
"@iamkrause 
I ain't never orderin from no colored pizza stow"	0
Can't keep a bitch but its cool cause money still around	0
This is really for @BrianStann RT @JimDaves: @WesDurham Exploding giant yellow ducks. You&#8217;ll appreciate this: http://t.co/SpOhTpl8uV	0
She like to argue so I sent dat bitch to law school	0
RT @amnesty2016: Stfu stupid bitch. God damn. Unfuckingfollow me then!!! Shit.	0
Niggas with bitch tendencies..	0
"HAHA &#8220;@BASEDNAFRICAN: ""If ANY of you bitches even THINK about attacking me in the elevator...."" http://t.co/cp2C1iQria&#8221;"	0
RT @FavaloroGfavs: @wenh08 bitch, ya betta! Haha I care for too love!	0
WEBBERS! RT @DMILZ4: Sz13 vnds restorers dream, cracked midsole, sole separation, and fogged bubbles. 150 http://t.co/yC81VG2kg1	0
@ICBC_World214 lol nigga just walk in that hoe looking for girls don't even wanna buy nothing	0
RT @DogBountyHunter: @WarMachine170 Hey Boy This half breed Chiricahua Apache is on YOUR ASS #Eatmytazer !!	0
"""@BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat k"" it wasn't even funny lol"	0
My mom didn't buy me Oreos she doesn't love me	0
&#8220;@joytooawesome: @im_jessicaaaaa @vintage_monroe_ haha bitch &#128523;&#128518;&#8221; http://t.co/n5uuCDTDxT	0
@JStarrTweets my pops is from New York. My family is Yankee obsessed. My sister literally cried when she heard he was gonna	0
@piersmorgan house keeps passing CR's senate says no because harry ried is obamas bitch.. not his states who does the senators represent?	0
That 'Ouija' movie look like trash	0
Acid yellow http://t.co/hkpOM1iM	0
kicking this bitch to the curb bruh.	0
You ever seen a fine Eskimo bitch?I'm in google images looking them up now.	0
I know I'm a hillbilly, but is there anything better than a big pot of beans and cornbread? Little hot sauce on top.	0
As soon as bitches get on a come up you got that one bitch that CANT Wait to tell ppl your downfall before the come up &#128528;&#128528;. #Haters	0
&#8220;@LastWordEvan: An inning and a half away from Alex Rodriguez being eligible to play. Just a thought. #Yankees #MLB&#8221; OMG. Feel an ulcer.	0
@AnthonyCumia just don't bitch when your power goes out like last time	0
The fucking Royals bitch! Work!	1
Goodbye hop plants ! Time to dink u!!!! Luv it!!! http://t.co/ImsIE8MKJm	0
Ima be home tomorrow so line up a bitch for me	0
